threadcount,inputinfo,Elapsed Time,Paused Time,Effective CPU Utilization,OpenMP Analysis. Collection Time,Serial Time (outside parallel regions),Parallel Region Time,Estimated Ideal Time,OpenMP Potential Gain,Total Thread Count,Thread Oversubscription,Wait Time with poor CPU Utilization,Spin and Overhead Time,Application Command Line,Operating System,Computer Name,Result Size,Collection start time,Collection stop time,Collector Type,Name,Frequency,Logical CPU Count,SP GFLOPS,DP GFLOPS,x87 GFLOPS,CPI Rate,Average CPU Frequency,Effective Physical Core Utilization,Effective Logical Core Utilization,Memory Bound,Cache Bound,DRAM Bound,NUMA: % of Remote Accesses,Vectorization,SP FLOPs,Packed,128-bit,256-bit,Scalar,DP FLOPs,x87 FLOPs,Non-FP,FP Arith/Mem Rd Instr. Ratio,FP Arith/Mem Wr Instr. Ratio,Metric Name
36,256256,0.391771,0.0,0.6% (0.428 out of 72 logical CPUs),0.634553,0.315s (80.5%),0.076s (19.5%),0.028s (7.0%),0.049s (12.4%),36,0s (0.0% of CPU Time),1.954s (100.0% of Wait Time),10.550s (97.5% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""256"" ""256"" ""1000"" ""none"" ""output.txt"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,7538337,00:49:23 22/04/2021 UTC,00:49:24 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147974,72,0.0,0.0,0.0,1.146259,2634570400.141791,5.5% (1.973 out of 36),4.2% (3.006 out of 72),4.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,256256,0.279302,0.0,0.8% (0.580 out of 72 logical CPUs),0.401500,0.236s (84.3%),0.044s (15.7%),0.028s (10.1%),0.016s (5.6%),18,0s (0.0% of CPU Time),0.292s (100.0% of Wait Time),3.410s (93.7% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""256"" ""256"" ""1000"" ""none"" ""output.txt"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,7400844,00:49:57 22/04/2021 UTC,00:49:57 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147944,72,0.0,0.0,0.0,1.046243,2747983897.565217,5.8% (2.099 out of 36),2.9% (2.099 out of 72),35.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,256256,0.239181,0.0,0.5% (0.330 out of 72 logical CPUs),0.336720,0.197s (82.5%),0.042s (17.5%),0.029s (12.3%),0.012s (5.2%),9,0s (0.0% of CPU Time),0.037s (100.0% of Wait Time),1.770s (94.2% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""256"" ""256"" ""1000"" ""none"" ""output.txt"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,6792416,00:50:32 22/04/2021 UTC,00:50:32 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148034,72,0.0,0.0,0.0,1.018072,2702900898.824428,5.7% (2.060 out of 36),1.7% (1.236 out of 72),30.0,5.1,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,256256,0.153684,0.0,0.2% (0.133 out of 72 logical CPUs),0.230119,0.127s (82.8%),0.027s (17.2%),0.020s (13.1%),0.006s (4.2%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.450s (93.8% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""256"" ""256"" ""1000"" ""none"" ""output.txt"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,5358275,00:51:06 22/04/2021 UTC,00:51:06 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148260,72,0.0,0.0,0.0,1.017857,2985586270.500000,2.8% (1.000 out of 36),1.0% (0.750 out of 72),0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,512256,0.507648,0.0,1.4% (0.995 out of 72 logical CPUs),0.967613,0.349s (68.7%),0.159s (31.3%),0.063s (12.4%),0.096s (18.9%),36,0s (0.0% of CPU Time),1.796s (100.0% of Wait Time),23.610s (96.1% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""256"" ""1000"" ""none"" ""output.txt"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,12703649,00:51:41 22/04/2021 UTC,00:51:42 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147633,72,0.0,0.0,0.0,1.221637,2616116799.364614,6.2% (2.248 out of 36),5.6% (4.008 out of 72),3.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,512256,0.364702,0.0,0.9% (0.626 out of 72 logical CPUs),0.705628,0.259s (71.1%),0.106s (28.9%),0.059s (16.2%),0.046s (12.7%),18,0s (0.0% of CPU Time),0.305s (100.0% of Wait Time),8.831s (95.3% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""256"" ""1000"" ""none"" ""output.txt"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,12109283,00:52:15 22/04/2021 UTC,00:52:16 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147177,72,0.0,0.0,0.0,0.956977,2616549509.364189,7.8% (2.806 out of 36),4.0% (2.858 out of 72),5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,512256,0.284778,0.0,0.6% (0.407 out of 72 logical CPUs),0.666305,0.198s (69.7%),0.086s (30.3%),0.052s (18.2%),0.035s (12.2%),9,0s (0.0% of CPU Time),0.029s (100.0% of Wait Time),4.520s (94.4% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""256"" ""1000"" ""none"" ""output.txt"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,10009018,00:52:49 22/04/2021 UTC,00:52:50 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148416,72,0.0,0.0,0.0,0.932353,2721975606.032786,4.1% (1.478 out of 36),2.1% (1.478 out of 72),6.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,512256,0.226445,0.0,0.7% (0.515 out of 72 logical CPUs),0.451450,0.149s (65.9%),0.077s (34.1%),0.052s (23.1%),0.025s (10.9%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),1.180s (83.7% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""256"" ""1000"" ""none"" ""output.txt"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,9032251,00:53:21 22/04/2021 UTC,00:53:21 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147983,72,0.0,0.0,0.0,1.000000,3153303529.969697,3.4% (1.214 out of 36),1.5% (1.062 out of 72),27.5,17.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,512512,0.413322,0.0,1.0% (0.723 out of 72 logical CPUs),0.626933,0.312s (75.5%),0.101s (24.5%),0.038s (9.2%),0.063s (15.3%),36,0s (0.0% of CPU Time),1.955s (100.0% of Wait Time),11.350s (96.2% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""512"" ""1000"" ""none"" ""output.txt"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,8279023,00:53:54 22/04/2021 UTC,00:53:55 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147925,72,0.0,0.0,0.0,1.204748,2674937287.893082,5.9% (2.119 out of 36),4.8% (3.444 out of 72),3.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,512512,0.282714,0.0,1.0% (0.729 out of 72 logical CPUs),0.484229,0.228s (80.6%),0.055s (19.4%),0.037s (13.1%),0.018s (6.3%),18,0s (0.0% of CPU Time),0.292s (100.0% of Wait Time),4.900s (93.3% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""512"" ""1000"" ""none"" ""output.txt"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,7317921,00:54:27 22/04/2021 UTC,00:54:27 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148084,72,0.0,0.0,0.0,1.126404,2675650897.082802,6.3% (2.254 out of 36),3.7% (2.677 out of 72),7.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,512512,0.211413,0.0,1.0% (0.728 out of 72 logical CPUs),0.334927,0.166s (78.6%),0.045s (21.4%),0.031s (14.6%),0.014s (6.8%),9,0s (0.0% of CPU Time),0.020s (100.0% of Wait Time),1.500s (86.2% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""512"" ""1000"" ""none"" ""output.txt"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,6135436,00:54:59 22/04/2021 UTC,00:54:59 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148082,72,0.0,0.0,0.0,1.047619,2858496608.000000,7.1% (2.568 out of 36),2.1% (1.541 out of 72),30.2,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,512512,0.169747,0.0,0.4% (0.307 out of 72 logical CPUs),0.232479,0.126s (74.4%),0.043s (25.6%),0.036s (21.4%),0.007s (4.2%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),0.440s (86.3% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""512"" ""512"" ""1000"" ""none"" ""output.txt"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,5259852,00:55:30 22/04/2021 UTC,00:55:30 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095148237,72,0.0,0.0,0.0,1.068493,3083425707.283019,3.1% (1.122 out of 36),1.6% (1.122 out of 72),0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,1024256,0.741525,0.0,1.7% (1.250 out of 72 logical CPUs),1.435636,0.465s (62.7%),0.276s (37.3%),0.128s (17.3%),0.148s (20.0%),36,0s (0.0% of CPU Time),1.921s (100.0% of Wait Time),38.970s (95.6% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""1024"" ""256"" ""1000"" ""none"" ""output.txt"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,20820840,00:56:07 22/04/2021 UTC,00:56:08 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147845,72,0.0,0.0,0.0,1.204592,2599558817.992723,7.8% (2.804 out of 36),7.0% (5.069 out of 72),7.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
18,1024256,0.720126,0.0,1.1% (0.791 out of 72 logical CPUs),1.193381,0.534s (74.2%),0.186s (25.8%),0.118s (16.3%),0.068s (9.4%),18,0s (0.0% of CPU Time),0.271s (100.0% of Wait Time),17.189s (94.8% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""1024"" ""256"" ""1000"" ""none"" ""output.txt"" ""18""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,19190089,00:56:45 22/04/2021 UTC,00:56:46 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147630,72,0.0,0.0,0.0,0.896621,2635487622.612867,8.7% (3.115 out of 36),4.4% (3.160 out of 72),12.8,7.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
9,1024256,0.449567,0.0,0.6% (0.442 out of 72 logical CPUs),1.068865,0.260s (57.9%),0.189s (42.1%),0.117s (26.1%),0.072s (15.9%),9,0s (0.0% of CPU Time),0.061s (100.0% of Wait Time),7.730s (94.3% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""1024"" ""256"" ""1000"" ""none"" ""output.txt"" ""9""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,17315622,00:57:22 22/04/2021 UTC,00:57:23 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147756,72,0.0,0.0,0.0,0.930502,2666887020.401409,6.7% (2.417 out of 36),3.3% (2.341 out of 72),24.7,13.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
4,1024256,0.347434,0.0,0.7% (0.496 out of 72 logical CPUs),0.708509,0.204s (58.6%),0.144s (41.4%),0.101s (29.2%),0.042s (12.2%),4,0s (0.0% of CPU Time),0.003s (100.0% of Wait Time),2.040s (85.4% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""1024"" ""256"" ""1000"" ""none"" ""output.txt"" ""4""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,12638534,00:57:56 22/04/2021 UTC,00:57:57 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147939,72,0.0,0.0,0.0,0.977612,3049604222.322222,3.7% (1.341 out of 36),1.9% (1.385 out of 72),23.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
36,1024512,0.628293,0.0,1.8% (1.316 out of 72 logical CPUs),1.028585,0.369s (58.8%),0.259s (41.2%),0.097s (15.5%),0.162s (25.8%),36,0s (0.0% of CPU Time),1.734s (100.0% of Wait Time),25.111s (94.9% of CPU Time),"sc_omp ""10"" ""20"" ""256"" ""1024"" ""512"" ""1000"" ""none"" ""output.txt"" ""36""","3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9""",quartz2758,15444680,00:58:33 22/04/2021 UTC,00:58:34 22/04/2021 UTC,Driverless Perf per-process sampling,Intel(R) Xeon(R) Processor code named Broadwell,2095147634,72,0.0,0.0,0.0,1.202937,2634394604.734357,7.7% (2.789 out of 36),7.0% (5.033 out of 72),8.5,8.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Metric Value
