vtuneCategory,threadcount,inputinfo,metric,value
tr,9,6464,Application Command Line,"srad2 ""64"" ""64"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""9"""
tr,9,6464,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,9,6464,Computer Name,quartz1453
tr,9,6464,Result Size,5271548
tr,9,6464,Collection start time,20:50:40 22/04/2021 UTC
tr,9,6464,Collection stop time,20:50:42 22/04/2021 UTC
tr,9,6464,Collector Type,User-mode sampling and tracing
tr,9,6464,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,9,6464,Frequency,2095146769
tr,9,6464,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,6464,Metric Name,Metric Value
hpc,9,6464,Elapsed Time,0.081635
hpc,9,6464,SP GFLOPS,0.0
hpc,9,6464,DP GFLOPS,0.0
hpc,9,6464,x87 GFLOPS,0.0
hpc,9,6464,CPI Rate,0.875000
hpc,9,6464,Average CPU Frequency,2444338739.500000
hpc,9,6464,Total Thread Count,1
hpc,9,6464,Effective Physical Core Utilization,0.5% (0.184 out of 36)
hpc,9,6464,Effective Logical Core Utilization,0.5% (0.368 out of 72)
hpc,9,6464,Memory Bound,0.0
hpc,9,6464,Cache Bound,0.0
hpc,9,6464,DRAM Bound,0.0
hpc,9,6464,NUMA: % of Remote Accesses,0.0
hpc,9,6464,Vectorization,0.0
hpc,9,6464,SP FLOPs,0.0
hpc,9,6464,Packed,0.0
hpc,9,6464,128-bit,0.0
hpc,9,6464,256-bit,0.0
hpc,9,6464,Scalar,0.0
hpc,9,6464,DP FLOPs,0.0
hpc,9,6464,Packed,0.0
hpc,9,6464,128-bit,0.0
hpc,9,6464,256-bit,0.0
hpc,9,6464,Scalar,0.0
hpc,9,6464,x87 FLOPs,0.0
hpc,9,6464,Non-FP,100.0
hpc,9,6464,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,9,6464,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,9,6464,Application Command Line,"srad2 ""100"" ""0.5"" ""64"" ""64"" ""64"" ""64"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""9"""
hpc,9,6464,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,6464,Computer Name,quartz1453
hpc,9,6464,Result Size,3449458
hpc,9,6464,Collection start time,20:50:58 22/04/2021 UTC
hpc,9,6464,Collection stop time,20:50:58 22/04/2021 UTC
hpc,9,6464,Collector Type,Driverless Perf per-process sampling
hpc,9,6464,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,6464,Frequency,2095147491
hpc,9,6464,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,4,6464,Metric Name,Metric Value
tr,4,6464,Elapsed Time,1.171975
tr,4,6464,Paused Time,0.0
tr,4,6464,Effective CPU Utilization,0.0% (0.000 out of 72 logical CPUs)
tr,4,6464,OpenMP Analysis. Collection Time,1.171975
tr,4,6464,Serial Time (outside parallel regions),1.073s (91.6%)
tr,4,6464,Parallel Region Time,0.099s (8.4%)
tr,4,6464,Estimated Ideal Time,0.017s (1.4%)
tr,4,6464,OpenMP Potential Gain,0.082s (7.0%)
tr,4,6464,Total Thread Count,100
tr,4,6464,Thread Oversubscription,15.960s (99.5% of CPU Time)
tr,4,6464,Wait Time with poor CPU Utilization,29.332s (100.0% of Wait Time)
tr,4,6464,Spin and Overhead Time,16.039s (100.0% of CPU Time)
tr,4,6464,Application Command Line,"srad2 ""64"" ""64"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""4"""
tr,4,6464,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,4,6464,Computer Name,quartz1453
tr,4,6464,Result Size,5051672
tr,4,6464,Collection start time,20:51:11 22/04/2021 UTC
tr,4,6464,Collection stop time,20:51:13 22/04/2021 UTC
